"TIME","GEO","INCGRP","HHTYP","TENURE","Value","Flag and Footnotes"
"2015","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)","Total","Total","Owner","69.5",""
"2015","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)","Total","Total","Tenant","30.5",""
"2015","European Union (28 countries)","Total","Total","Owner","69.4",""
"2015","European Union (28 countries)","Total","Total","Tenant","30.6",""
"2015","European Union (27 countries)","Total","Total","Owner","69.2",""
"2015","European Union (27 countries)","Total","Total","Tenant","30.8",""
"2015","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Total","Owner","66.4","e"
"2015","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Total","Tenant","33.6","e"
"2015","Euro area (19 countries)","Total","Total","Owner","66.4",""
"2015","Euro area (19 countries)","Total","Total","Tenant","33.6",""
"2015","Euro area (18 countries)","Total","Total","Owner","66.2",""
"2015","Euro area (18 countries)","Total","Total","Tenant","33.8",""
"2015","Belgium","Total","Total","Owner","71.4",""
"2015","Belgium","Total","Total","Tenant","28.6",""
"2015","Bulgaria","Total","Total","Owner","82.3",""
"2015","Bulgaria","Total","Total","Tenant","17.7",""
"2015","Czech Republic","Total","Total","Owner","78.0",""
"2015","Czech Republic","Total","Total","Tenant","22.0",""
"2015","Denmark","Total","Total","Owner","62.7",""
"2015","Denmark","Total","Total","Tenant","37.3",""
"2015","Germany (until 1990 former territory of the FRG)","Total","Total","Owner","51.9",""
"2015","Germany (until 1990 former territory of the FRG)","Total","Total","Tenant","48.1",""
"2015","Estonia","Total","Total","Owner","81.5",""
"2015","Estonia","Total","Total","Tenant","18.5",""
"2015","Ireland","Total","Total","Owner","70.0",""
"2015","Ireland","Total","Total","Tenant","30.0",""
"2015","Greece","Total","Total","Owner","75.1",""
"2015","Greece","Total","Total","Tenant","24.9",""
"2015","Spain","Total","Total","Owner","78.2",""
"2015","Spain","Total","Total","Tenant","21.8",""
"2015","France","Total","Total","Owner","64.1",""
"2015","France","Total","Total","Tenant","35.9",""
"2015","Croatia","Total","Total","Owner","90.3",""
"2015","Croatia","Total","Total","Tenant","9.7",""
"2015","Italy","Total","Total","Owner","72.9",""
"2015","Italy","Total","Total","Tenant","27.1",""
"2015","Cyprus","Total","Total","Owner","73.0",""
"2015","Cyprus","Total","Total","Tenant","27.0",""
"2015","Latvia","Total","Total","Owner","80.2",""
"2015","Latvia","Total","Total","Tenant","19.8",""
"2015","Lithuania","Total","Total","Owner","89.4",""
"2015","Lithuania","Total","Total","Tenant","10.6",""
"2015","Luxembourg","Total","Total","Owner","73.2",""
"2015","Luxembourg","Total","Total","Tenant","26.8",""
"2015","Hungary","Total","Total","Owner","86.3",""
"2015","Hungary","Total","Total","Tenant","13.7",""
"2015","Malta","Total","Total","Owner","80.8",""
"2015","Malta","Total","Total","Tenant","19.2",""
"2015","Netherlands","Total","Total","Owner","67.8","p"
"2015","Netherlands","Total","Total","Tenant","32.2","p"
"2015","Austria","Total","Total","Owner","55.7",""
"2015","Austria","Total","Total","Tenant","44.3",""
"2015","Poland","Total","Total","Owner","83.7",""
"2015","Poland","Total","Total","Tenant","16.3",""
"2015","Portugal","Total","Total","Owner","74.8",""
"2015","Portugal","Total","Total","Tenant","25.2",""
"2015","Romania","Total","Total","Owner","96.4",""
"2015","Romania","Total","Total","Tenant","3.6",""
"2015","Slovenia","Total","Total","Owner","76.2",""
"2015","Slovenia","Total","Total","Tenant","23.8",""
"2015","Slovakia","Total","Total","Owner","89.3",""
"2015","Slovakia","Total","Total","Tenant","10.7",""
"2015","Finland","Total","Total","Owner","72.7",""
"2015","Finland","Total","Total","Tenant","27.3",""
"2015","Sweden","Total","Total","Owner","66.2",""
"2015","Sweden","Total","Total","Tenant","33.8",""
"2015","United Kingdom","Total","Total","Owner","63.5",""
"2015","United Kingdom","Total","Total","Tenant","36.5",""
"2015","Iceland","Total","Total","Owner","77.8",""
"2015","Iceland","Total","Total","Tenant","22.2",""
"2015","Norway","Total","Total","Owner","82.8",""
"2015","Norway","Total","Total","Tenant","17.2",""
"2015","Switzerland","Total","Total","Owner","43.4",""
"2015","Switzerland","Total","Total","Tenant","56.6",""
"2015","Former Yugoslav Republic of Macedonia, the","Total","Total","Owner","90.6",""
"2015","Former Yugoslav Republic of Macedonia, the","Total","Total","Tenant","9.4",""
"2015","Serbia","Total","Total","Owner","81.1",""
"2015","Serbia","Total","Total","Tenant","18.9",""
"2015","Turkey","Total","Total","Owner",":",""
"2015","Turkey","Total","Total","Tenant",":",""
